"BEGINNER","¿Cuáles son los colores de la bandera de Colombia?","3","Amarillo, verde y rojo","Amarillo, rojo y azul","Amarillo, azul y rojo","verde,blanco y rojo"
"BEGINNER","¿Cuál es el idioma oficial de Colombia?","1","Español","Inglés","Francés","Italiano"
"BEGINNER","¿Cuál es el idioma oficial de Italia?","2","Alemán","Italiano","Ruso","Portugés"
"BEGINNER","¿Cuántos meses tiene un año?","1","12","10","14","11"
"BEGINNER","¿Cuál es la capital de Colombia?","4","Barranquilla","Medellin","Cali","Bogotá"
"EASY","¿Con qué oceanos limita Colombia?","3","Indico y Pacífico","Atlántico e Indico","Pacífico y Atlántico","Antártico y Ártico."
"EASY","¿Cuál es la flor nacional de Colombia?","1","Orquídea" ,"Lirio","Azucena","Rosa"
"EASY","¿Cuál es el deporte más popular en Colombia?","2","Béisbol","Fútbol","Tenis","Natación"
"EASY","¿Cuál es el tercer planeta en el sistema solar?","3","Marte","Venus","Tierra","Júpiter"
"EASY","¿Cuál es la moneda oficial de Estados Unidos?","1","Dólar estadounidense","Euro","Libra esterlina","Peso Méxicano"
"INTERMEDIATE","¿Cuántos huesos tiene el cuerpo humano?","3","207","210","206","209"
"INTERMEDIATE","¿Cuál escritor colombiano escribió la novela María?","2","Gabriel García Marquez","Jorge Isaacs","Rafael Pombo","José Eustasio Rivera"
"INTERMEDIATE","¿En qué año acabó la Segunda Guerra Mundial?","1","1945","1947","1951","1940"
"INTERMEDIATE","¿En qué año llegó Cristóbal Colón a América?","2","1546","1492","1420","1578"
"INTERMEDIATE","¿Cuál es el animal más grande del planeta tierra?","3","Tiburón blanco","Elefante","Ballena Azul","El cachalote"
"HARD","¿Cuántas estrellas tiene la bandera de Estados Unidos?","2","60","50","49","55"
"HARD","¿Qué tratado dio fin a la Guerra de los Mil Dias?","1","El Tratado de Wisconsin","Conferencia de Paz","Tratado de Saint-Germain","Tratado de Versalles"
"HARD","¿Dónde está Transilvania?","2","Ucrania","Rumania","Bulgaria","Albania"
"HARD","¿En qué año cayó el muro de Berlín?","3","1914","1937","1989","1976"
"HARD","¿En qué año empezó la Revolución Rusa?","2","1991","1917","1939","1914"
"ADVANCED","¿Dónde se celebraron los Juegos Olímpicos del año 1992?","1","Barcelona, España","Atlanta, Estados Unidos","Seúl, Corea del Sur","Pekín, China"
"ADVANCED","¿Cuál fue la primera civilización humana?","2","Egipcios","Sumerios","Griegos","Imperio romano"
"ADVANCED","¿Cuál es la luna más grande de Saturno?","3","Mimas","Encélado","Titán ","Japeto"
"ADVANCED","¿Cuántos corazones tiene un pulpo?","1","tres","cuatro","dos","uno"
"ADVANCED","¿Cuál es la universidad más antigua del mundo?","4","Universidad de Harvard","Unversidad de Oxford ","Universidad de Cambridge","Universidad de Bolonia"
